# Client Date <20170807>
# PacketExtractor by BryanWai
0954 0892
089A 0878
092E 0A6C
0865 0A6E
0950 089C
0933 086A
0838 0965
0951 0944
0897 088C
087F 08AD
0363 02C4
091B 087E
0931 096A
08A0 0360
08A4 0882
08AA 0961
087C 094B
0942 0962
0890 08A7
086E 0886
0918 0917
091E 0927
092B 0879
089E 0202
093F 0369
0815 035F
0969 0881
0863 0948
085B 091F
087A 085E
0885 0968
091D 0930
093E 0861
091C 08A2
0368 0871
0364 086B
0958 0921
083C 0966
085D 0281
095B 0922
0960 0936
022D 088D
0835 0926
094D 085A
0937 0802
0436 093A
0957 086D
0923 089D
0899 093B
0361 0862
0A5A 087B
0955 0952
0896 0366
0934 086F
0949 0A68
0953 095E
0811 0928
0967 091A
0963 0867
0932 0883
08AC 093C
0367 0929
0947 089B
085C 0920
094C 0872
08A1 0875
0A69 0869
0925 0884
095C 07EC
086C 0868
0866 0437
0438 088B
088F 0898
0819 0945
0895 0870
0893 0888
0924 092F
0889 0964
0891 07E4
0860 093D
0873 0935
0894 0877
08AB 094A
088A 0943
